J,Euphoria
L,Passionate Devotion
F,Panic
S,Desolation
U,Astonishment
A,Fury
JL,Bliss
JF,Anxious Excitement
JS,Bittersweet
JU,Amazement
JA,Defiant Elation
LF,Cautious Affection
LS,Heartache
LU,Enchanted Affection
LA,Turbulent Passion
FS,Despair
FU,Alarm
FA,Furious Anxiety
SU,Stunned Sorrow
SA,Bitter Anguish
UA,Outrage
JLF,Hopeful Apprehension
JLS,Poignant Bliss
JLU,Enraptured Wonder
JLA,Passionate Defiance
JFS,Melancholic Thrill
JFU,Exhilarating Startle
JFA,Raging Exuberance
JSU,Unexpected Bittersweetness
JSA,Turbulent Melancholy
JUA,Incensed Delight
LFS,Tragic Affection
LFU,Spellbound Caution
LFA,Obsessive Turbulence
LSU,Melancholic Enchantment
LSA,Furious Heartache
LUA,Passionate Outrage
FSU,Dismal Shock
FSA,Wrathful Despair
FUA,Frenzied Alarm
SUA,Stunned Resentment
